# date	front	securityID	traded_qty   (from volstats: summed lastQty, outrights only)
20250102	ESH5	5002	1727358
20250103	ESH5	5002	1145230
20250106	ESH5	5002	1469257
20250107	ESH5	5002	1697137
20250108	ESH5	5002	1709169
20250109	ESH5	5002	124412
20250110	ESH5	5002	2007792
20250113	ESH5	5002	1707662
20250114	ESH5	5002	1785363
20250115	ESH5	5002	1570873
20250116	ESH5	5002	1519418
20250117	ESH5	5002	1331303
20250120	ESH5	5002	276812
20250121	ESH5	5002	1385489
20250122	ESH5	5002	1169724
20250123	ESH5	5002	1072411
20250124	ESH5	5002	1198033
20250127	ESH5	5002	2300294
20250128	ESH5	5002	1522363
20250129	ESH5	5002	1520499
20250130	ESH5	5002	1550527
20250131	ESH5	5002	1767228
20250202	ESH5	5002	93268
20250203	ESH5	5002	2180994
20250204	ESH5	5002	1282072
20250205	ESH5	5002	1151942
20250206	ESH5	5002	1123511
20250207	ESH5	5002	1619375
20250210	ESH5	5002	954113
20250211	ESH5	5002	991075
20250212	ESH5	5002	1496369
20250213	ESH5	5002	1458934
20250214	ESH5	5002	967075
20250217	ESH5	5002	98634
20250218	ESH5	5002	1057362
20250219	ESH5	5002	1034010
20250220	ESH5	5002	1348418
20250221	ESH5	5002	1837282
20250224	ESH5	5002	1740615
20250225	ESH5	5002	2159899
20250226	ESH5	5002	1881322
20250227	ESH5	5002	2518763
20250228	ESH5	5002	2673248
20250303	ESH5	5002	2538938
20250304	ESH5	5002	3261845
20250305	ESH5	5002	2228712
20250306	ESH5	5002	2494788
20250307	ESH5	5002	2247019
20250309	ESH5	5002	54823
20250310	ESH5	5002	2466598
20250311	ESH5	5002	2488301
20250312	ESH5	5002	1872886
20250313	ESH5	5002	1906520
20250314	ESH5	5002	1543128
20250316	ESH5	5002	30563
20250317	ESM5	4916	1320981
20250318	ESM5	4916	1194167
20250319	ESM5	4916	1343759
20250320	ESM5	4916	1516357
20250321	ESM5	4916	1467325
20250324	ESM5	4916	1324086
20250325	ESM5	4916	1026233
20250326	ESM5	4916	1446724
20250327	ESM5	4916	1501325
20250328	ESM5	4916	1826675
20250331	ESM5	4916	2097512
20250401	ESM5	4916	1823461
20250402	ESM5	4916	2091351
20250403	ESM5	4916	2298966
20250404	ESM5	4916	3452293
20250406	ESM5	4916	175866
20250407	ESM5	4916	3404940
20250408	ESM5	4916	2371277
20250409	ESM5	4916	2881362
20250410	ESM5	4916	2414804
20250411	ESM5	4916	1660379
20250413	ESM5	4916	42901
20250414	ESM5	4916	1231511
20250415	ESM5	4916	1133264
20250416	ESM5	4916	1497832
20250417	ESM5	4916	1296097
20250421	ESM5	4916	1149676
20250422	ESM5	4916	1573816
20250423	ESM5	4916	1713868
20250424	ESM5	4916	1364107
20250425	ESM5	4916	1261371
20250428	ESM5	4916	1140804
20250429	ESM5	4916	1173743
20250430	ESM5	4916	1748404
20250501	ESM5	4916	1303111
20250502	ESM5	4916	1318281
20250505	ESM5	4916	953569
20250506	ESM5	4916	1300110
20250507	ESM5	4916	1298157
20250508	ESM5	4916	1364093
20250509	ESM5	4916	983097
20250512	ESM5	4916	1661708
20250513	ESM5	4916	1276089
20250514	ESM5	4916	1156964
20250515	ESM5	4916	1231125
20250516	ESM5	4916	1076123
20250519	ESM5	4916	1190062
20250520	ESM5	4916	1067780
20250521	ESM5	4916	1480766
20250522	ESM5	4916	1367647
20250523	ESM5	4916	1458191
20250526	ESM5	4916	122566
20250527	ESM5	4916	1094526
20250528	ESM5	4916	1192315
20250529	ESM5	4916	1325088
20250530	ESM5	4916	1547241
20250602	ESM5	4916	1157975
20250603	ESM5	4916	1110130
20250604	ESM5	4916	1056705
20250605	ESM5	4916	1530537
20250606	ESM5	4916	1209324
20250609	ESM5	4916	832386
20250610	ESM5	4916	1027037
20250611	ESM5	4916	1481028
20250612	ESM5	4916	1155552
20250613	ESM5	4916	1520449
20250615	ESM5	4916	24954
20250616	ESU5	14160	1209383
20250617	ESU5	14160	1161858
20250618	ESU5	14160	1114817
20250619	ESU5	14160	247328
20250620	ESU5	14160	1293547
20250623	ESU5	14160	1307008
20250624	ESU5	14160	985359
20250625	ESU5	14160	868680
20250626	ESU5	14160	974870
20250627	ESU5	14160	1268586
20250630	ESU5	14160	1250218
20250701	ESU5	14160	1273985
20250702	ESU5	14160	995182
20250703	ESU5	14160	689058
20250704	ESU5	14160	113828
20250707	ESU5	14160	1201988
20250708	ESU5	14160	1036241
20250709	ESU5	14160	1106138
20250710	ESU5	14160	896405
20250711	ESU5	14160	1050949
20250714	ESU5	14160	867525
20250715	ESU5	14160	1250352
20250716	ESU5	14160	1416778
20250717	ESU5	14160	994068
20250718	ESU5	14160	978881
20250721	ESU5	14160	899282
20250722	ESU5	14160	1116488
20250723	ESU5	14160	1150621
20250724	ESU5	14160	1030619
20250725	ESU5	14160	775041
20250728	ESU5	14160	911292
20250729	ESU5	14160	1087545
20250730	ESU5	14160	1259121
20250731	ESU5	14160	1776256
20250801	ESU5	14160	2201084
20250804	ESU5	14160	1222087
20250805	ESU5	14160	1373804
20250806	ESU5	14160	1184232
20250807	ESU5	14160	1395908
20250808	ESU5	14160	1136663
20250811	ESU5	14160	1038540
20250812	ESU5	14160	1238223
20250813	ESU5	14160	1065181
20250814	ESU5	14160	1155626
20250815	ESU5	14160	1056169
20250818	ESU5	14160	835264
20250819	ESU5	14160	1184687
20250820	ESU5	14160	1543718
20250821	ESU5	14160	1166375
20250822	ESU5	14160	1352684
20250825	ESU5	14160	903685
20250826	ESU5	14160	1049996
20250827	ESU5	14160	927741
20250828	ESU5	14160	1104716
20250829	ESU5	14160	1277500
20250901	ESU5	14160	120094
20250902	ESU5	14160	1636977
20250903	ESU5	14160	1391768
20250904	ESU5	14160	1125746
20250905	ESU5	14160	1641206
20250908	ESU5	14160	1107150
20250909	ESU5	14160	1128871
20250910	ESU5	14160	1297565
20250911	ESU5	14160	1149338
20250912	ESU5	14160	951578
20250915	ESZ5	294973	1075037
20250916	ESZ5	294973	973437
20250917	ESZ5	294973	1425397
20250918	ESZ5	294973	1333289
20250919	ESZ5	294973	1222841
20250922	ESZ5	294973	1025552
20250923	ESZ5	294973	1221412
20250924	ESZ5	294973	1198734
20250925	ESZ5	294973	1656954
20250926	ESZ5	294973	1277869
20250929	ESZ5	294973	1147759
20250930	ESZ5	294973	1448949
20251001	ESZ5	294973	1253501
20251002	ESZ5	294973	1144138
20251003	ESZ5	294973	1316186
20251006	ESZ5	294973	1051602
20251007	ESZ5	294973	1381099
20251008	ESZ5	294973	1007330
20251009	ESZ5	294973	1330294
