# date	front	securityID	traded_qty   (from volstats: summed lastQty, outrights only)
20250101	NQH5	42288528	6499
20250102	NQH5	42288528	660523
20250103	NQH5	42288528	477950
20250105	NQH5	42288528	4789
20250106	NQH5	42288528	563668
20250107	NQH5	42288528	638273
20250108	NQH5	42288528	628782
20250109	NQH5	42288528	81698
20250110	NQH5	42288528	688444
20250112	NQH5	42288528	8170
20250113	NQH5	42288528	610967
20250114	NQH5	42288528	665130
20250115	NQH5	42288528	548734
20250116	NQH5	42288528	591488
20250117	NQH5	42288528	579529
20250119	NQH5	42288528	7970
20250120	NQH5	42288528	153745
20250121	NQH5	42288528	504016
20250122	NQH5	42288528	487755
20250123	NQH5	42288528	468164
20250124	NQH5	42288528	519701
20250126	NQH5	42288528	23644
20250127	NQH5	42288528	1031504
20250128	NQH5	42288528	647137
20250129	NQH5	42288528	634736
20250130	NQH5	42288528	616107
20250131	NQH5	42288528	641933
20250202	NQH5	42288528	27990
20250203	NQH5	42288528	703448
20250204	NQH5	42288528	494693
20250205	NQH5	42288528	494736
20250206	NQH5	42288528	439931
20250207	NQH5	42288528	591611
20250209	NQH5	42288528	12378
20250210	NQH5	42288528	381683
20250211	NQH5	42288528	421123
20250212	NQH5	42288528	545316
20250213	NQH5	42288528	534696
20250214	NQH5	42288528	426787
20250216	NQH5	42288528	12960
20250217	NQH5	42288528	93020
20250218	NQH5	42288528	461441
20250219	NQH5	42288528	495929
20250220	NQH5	42288528	560190
20250221	NQH5	42288528	699022
20250223	NQH5	42288528	11788
20250224	NQH5	42288528	661160
20250225	NQH5	42288528	791993
20250226	NQH5	42288528	650733
20250227	NQH5	42288528	854224
20250228	NQH5	42288528	826023
20250302	NQH5	42288528	14563
20250303	NQH5	42288528	832209
20250304	NQH5	42288528	941430
20250305	NQH5	42288528	774994
20250306	NQH5	42288528	757897
20250307	NQH5	42288528	750277
20250309	NQH5	42288528	19764
20250310	NQH5	42288528	787146
20250311	NQH5	42288528	829727
20250312	NQH5	42288528	687550
20250313	NQH5	42288528	737964
20250314	NQH5	42288528	676411
20250316	NQH5	42288528	15399
20250317	NQH5	42288528	393206
20250318	NQM5	42005804	469323
20250319	NQM5	42005804	515297
20250320	NQM5	42005804	571881
20250321	NQM5	42005804	590412
20250323	NQM5	42005804	24890
20250324	NQM5	42005804	532037
20250325	NQM5	42005804	470049
20250326	NQM5	42005804	628182
20250327	NQM5	42005804	617999
20250328	NQM5	42005804	680478
20250330	NQM5	42005804	25396
20250331	NQM5	42005804	824408
20250401	NQM5	42005804	786762
20250402	NQM5	42005804	864765
20250403	NQM5	42005804	846463
20250404	NQM5	42005804	1166118
20250406	NQM5	42005804	55739
20250407	NQM5	42005804	1086875
20250408	NQM5	42005804	957630
20250409	NQM5	42005804	1050475
20250410	NQM5	42005804	957486
20250411	NQM5	42005804	650025
20250413	NQM5	42005804	26704
20250414	NQM5	42005804	550715
20250415	NQM5	42005804	531437
20250416	NQM5	42005804	673156
20250417	NQM5	42005804	613310
20250420	NQM5	42005804	8479
20250421	NQM5	42005804	478490
20250422	NQM5	42005804	635116
20250423	NQM5	42005804	706858
20250424	NQM5	42005804	594812
20250425	NQM5	42005804	572555
20250427	NQM5	42005804	10045
20250428	NQM5	42005804	507309
20250429	NQM5	42005804	563891
20250430	NQM5	42005804	722170
20250501	NQM5	42005804	572509
20250502	NQM5	42005804	502209
20250504	NQM5	42005804	13175
20250505	NQM5	42005804	403329
